Project,15-Minute,Hourly,Daily,Weekly
Ajax Wind,0.6227494640863431,0.6400044874689085,0.7840868415059443,0.8926383975644374
Anchor Wind Iii,0.6308703229699064,0.6455568059734198,0.8689864270477832,0.9536513692399852
Azalea Springs Solar,0.0940851887998444,0.09627822945759625,0.000545544301370667,-0.31466600100820946
Blue Jay Solar,0.6415719016816646,0.6529451719419006,-0.21540670131982115,-0.551125521861023
Bobcat Wind,0.5146879067986893,0.5262942406855372,0.8236632183057533,0.9440840030151982
Cameron Wind,0.8115671893214496,0.8187226113509268,0.9121932732985572,0.8969940134814255
Capricorn Ridge,-0.01960369290767265,-0.022652945408869186,-0.49901208658519675,-0.8954623383955098
Eliza Solar,0.2885341302537808,0.2927709576527673,-0.12486467308920733,-0.7093500466670037
Flat Top Wind,0.7397331983267886,0.7461157426926727,0.9246399697646256,0.9403654259018048
Frye Solar,0.8980801841463814,0.9058612644804654,0.8367338171383304,0.8404797588975671
Goat Mountain,0.2247595992438083,0.23476463927779787,0.4093221769124064,0.290426833284759
Green Pastures,0.36982430141108424,0.3827197854857153,0.5681619560382475,0.5011077435738633
Hereford Wind,0.6754445482726967,0.6916059641436997,0.8390146299724507,0.8977678740414887
Horse Hollow,0.8030501750171822,0.8132718780068328,0.940700316065582,0.9733085470388595
Maryneal Solar,0.8834457607520053,0.8967131796646436,0.6987626609176842,0.785286751175211
Maryneal Wind,0.023368198917086937,0.021440153872845816,-0.4899071143928589,-0.7576752908211736
Pine Forest Solar,0.8961754608507714,0.9030916249345703,0.7512176138790131,0.9341551310534242
Rio Bravo Wind,0.3678190204484927,0.38356357167805216,0.6264327675658553,0.7760237480314092
Roseland Solar,0.9012012397349843,0.9130205563963707,0.8498115159404805,0.8599348805861258
Route 66 Wind,0.3148408289895846,0.3244491566417694,0.3893008302631667,0.3657131188635298
San Roman Wind,0.7735080537162058,0.7827373745121123,0.9103100286400114,0.9251992693651755
Shaffer Wind,0.8571234133021156,0.8671713608291796,0.9419027723579555,0.9652662164967774
South Plains,0.43721536082682827,0.4539180498350804,0.6090228128618189,0.674783192258105
South Ranch Wind,0.0413015058714919,0.04211803657285717,0.1726964472644138,0.38017221661726863
Tyler Bluff,0.7061718496023306,0.7161326825967134,0.8603927851316533,0.8659993991613848
Vera Wind,0.6070153372601893,0.6277295831332752,0.8129577590194845,0.8252323617319333
Whitehorse Wind,0.6452009677746128,0.6546215967002634,0.8177009999489915,0.8311252805838818
Wildwind,0.42958067104462094,0.44021747970620695,0.6611722165267384,0.8798711255077737
